,FIPS,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
175,5129,15.4,13.1,6.2,5.7
176,5131,15.4,13.1,6.2,5.7
177,5133,15.4,13.1,6.2,5.7
178,5135,15.4,13.1,6.2,5.7
179,5137,15.4,13.1,6.2,5.7
180,5139,15.4,13.1,6.2,5.7
181,5141,15.4,13.1,6.2,5.7
182,5143,15.4,13.1,6.2,5.7
183,5145,15.4,13.1,6.2,5.7
184,5147,15.4,13.1,6.2,5.7
185,5149,15.4,13.1,6.2,5.7
186,6001,13.5,11.2,5.1,4.1
187,6003,13.5,11.2,5.1,4.1
188,6005,13.5,11.2,5.1,4.1
189,6007,13.5,11.2,5.1,4.1
190,6009,13.5,11.2,5.1,4.1
191,6011,13.5,11.2,5.1,4.1
192,6013,13.5,11.2,5.1,4.1
193,6015,13.5,11.2,5.1,4.1
194,6017,13.5,11.2,5.1,4.1
195,6019,13.5,11.2,5.1,4.1
196,6021,13.5,11.2,5.1,4.1
197,6023,13.5,11.2,5.1,4.1
198,6025,13.5,11.2,5.1,4.1
199,6027,13.5,11.2,5.1,4.1
200,6029,13.5,11.2,5.1,4.1
201,6031,13.5,11.2,5.1,4.1
202,6033,13.5,11.2,5.1,4.1
203,6035,13.5,11.2,5.1,4.1
204,6037,13.5,11.2,5.1,4.1
205,6039,13.5,11.2,5.1,4.1
206,6041,13.5,11.2,5.1,4.1
207,6043,13.5,11.2,5.1,4.1
208,6045,13.5,11.2,5.1,4.1
209,6047,13.5,11.2,5.1,4.1
210,6049,13.5,11.2,5.1,4.1
211,6051,13.5,11.2,5.1,4.1
212,6053,13.5,11.2,5.1,4.1
213,6055,13.5,11.2,5.1,4.1
214,6057,13.5,11.2,5.1,4.1
215,6059,13.5,11.2,5.1,4.1
216,6061,13.5,11.2,5.1,4.1
217,6063,13.5,11.2,5.1,4.1
218,6065,13.5,11.2,5.1,4.1
219,6067,13.5,11.2,5.1,4.1
220,6069,13.5,11.2,5.1,4.1
221,6071,13.5,11.2,5.1,4.1
222,6073,13.5,11.2,5.1,4.1
223,6075,13.5,11.2,5.1,4.1
224,6077,13.5,11.2,5.1,4.1
225,6079,13.5,11.2,5.1,4.1
226,6081,13.5,11.2,5.1,4.1
227,6083,13.5,11.2,5.1,4.1
228,6085,13.5,11.2,5.1,4.1
229,6087,13.5,11.2,5.1,4.1
230,6089,13.5,11.2,5.1,4.1
231,6091,13.5,11.2,5.1,4.1
232,6093,13.5,11.2,5.1,4.1
233,6095,13.5,11.2,5.1,4.1
234,6097,13.5,11.2,5.1,4.1
235,6099,13.5,11.2,5.1,4.1
236,6101,13.5,11.2,5.1,4.1
237,6103,13.5,11.2,5.1,4.1
238,6105,13.5,11.2,5.1,4.1
239,6107,13.5,11.2,5.1,4.1
240,6109,13.5,11.2,5.1,4.1
241,6111,13.5,11.2,5.1,4.1
242,6113,13.5,11.2,5.1,4.1
243,6115,13.5,11.2,5.1,4.1
244,8001,13.6,9.2,5.2,3.8
245,8003,13.6,9.2,5.2,3.8
246,8005,13.6,9.2,5.2,3.8
247,8007,13.6,9.2,5.2,3.8
248,8009,13.6,9.2,5.2,3.8
249,8011,13.6,9.2,5.2,3.8
250,8013,13.6,9.2,5.2,3.8
251,8014,13.6,9.2,5.2,3.8
252,8015,13.6,9.2,5.2,3.8
253,8017,13.6,9.2,5.2,3.8
254,8019,13.6,9.2,5.2,3.8
255,8021,13.6,9.2,5.2,3.8
256,8023,13.6,9.2,5.2,3.8
257,8025,13.6,9.2,5.2,3.8
258,8027,13.6,9.2,5.2,3.8
259,8029,13.6,9.2,5.2,3.8
260,8031,13.6,9.2,5.2,3.8
261,8033,13.6,9.2,5.2,3.8
262,8035,13.6,9.2,5.2,3.8
263,8037,13.6,9.2,5.2,3.8
264,8039,13.6,9.2,5.2,3.8
265,8041,13.6,9.2,5.2,3.8
266,8043,13.6,9.2,5.2,3.8
267,8045,13.6,9.2,5.2,3.8
268,8047,13.6,9.2,5.2,3.8
269,8049,13.6,9.2,5.2,3.8
270,8051,13.6,9.2,5.2,3.8
271,8053,13.6,9.2,5.2,3.8
272,8055,13.6,9.2,5.2,3.8
273,8057,13.6,9.2,5.2,3.8
274,8059,13.6,9.2,5.2,3.8
275,8061,13.6,9.2,5.2,3.8
276,8063,13.6,9.2,5.2,3.8
277,8065,13.6,9.2,5.2,3.8
278,8067,13.6,9.2,5.2,3.8
279,8069,13.6,9.2,5.2,3.8
280,8071,13.6,9.2,5.2,3.8
281,8073,13.6,9.2,5.2,3.8
282,8075,13.6,9.2,5.2,3.8
283,8077,13.6,9.2,5.2,3.8
284,8079,13.6,9.2,5.2,3.8
285,8081,13.6,9.2,5.2,3.8
286,8083,13.6,9.2,5.2,3.8
287,8085,13.6,9.2,5.2,3.8
288,8087,13.6,9.2,5.2,3.8
289,8089,13.6,9.2,5.2,3.8
290,8091,13.6,9.2,5.2,3.8
291,8093,13.6,9.2,5.2,3.8
292,8095,13.6,9.2,5.2,3.8
293,8097,13.6,9.2,5.2,3.8
294,8099,13.6,9.2,5.2,3.8
295,8101,13.6,9.2,5.2,3.8
296,8103,13.6,9.2,5.2,3.8
297,8105,13.6,9.2,5.2,3.8
298,8107,13.6,9.2,5.2,3.8
299,8109,13.6,9.2,5.2,3.8
300,8111,13.6,9.2,5.2,3.8
301,8113,13.6,9.2,5.2,3.8
302,8115,13.6,9.2,5.2,3.8
303,8117,13.6,9.2,5.2,3.8
304,8119,13.6,9.2,5.2,3.8
305,8121,13.6,9.2,5.2,3.8
306,8123,13.6,9.2,5.2,3.8
307,8125,13.6,9.2,5.2,3.8
308,9001,13.9,12.2,6.0,4.7
309,9003,13.9,12.2,6.0,4.7
310,9005,13.9,12.2,6.0,4.7
311,9007,13.9,12.2,6.0,4.7
312,9009,13.9,12.2,6.0,4.7
313,9011,13.9,12.2,6.0,4.7
314,9013,13.9,12.2,6.0,4.7
315,9015,13.9,12.2,6.0,4.7
316,10001,13.2,11.2,4.9,4.5
317,10003,13.2,11.2,4.9,4.5
318,10005,13.2,11.2,4.9,4.5
319,11001,12.1,11.1,4.6,3.5
320,12001,13.8,11.9,5.5,4.2
321,12003,13.8,11.9,5.5,4.2
322,12005,13.8,11.9,5.5,4.2
323,12007,13.8,11.9,5.5,4.2
324,12009,13.8,11.9,5.5,4.2
325,12011,13.8,11.9,5.5,4.2
326,12013,13.8,11.9,5.5,4.2
327,12015,13.8,11.9,5.5,4.2
