,FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
99,4007,10.9,11.2,26.0,29.5,24.5,0.093594399,0.0375256
100,4009,9.1,10.3,26.0,29.5,24.5,0.080810258,0.0529563
101,4011,8.2,10.7,26.0,29.5,24.5,0.0,0.0
102,4012,12.0,14.8,26.0,29.5,24.5,0.0,0.0
103,4013,7.4,9.0,26.0,29.5,24.5,0.072099991,0.086691896
104,4015,11.1,12.8,26.0,29.5,24.5,0.073988941,0.063295762
105,4017,12.9,13.1,26.0,29.5,24.5,0.0279023,0.0369269
106,4019,7.8,8.8,26.0,29.5,24.5,0.102299511,0.114565751
107,4021,8.4,12.3,26.0,29.5,24.5,0.0237953,0.0313166
108,4023,6.3,8.0,26.0,29.5,24.5,0.0210018,0.0434075
109,4025,8.0,10.5,26.0,29.5,24.5,0.099581284,0.106969509
110,4027,10.0,12.6,26.0,29.5,24.5,0.0394904,0.0584047
111,5001,12.6,12.9,34.5,35.0,21.400000000000006,0.052997,0.0548998
112,5003,11.3,14.5,34.5,35.0,21.400000000000006,0.0,0.097570495
113,5005,11.8,16.0,34.5,35.0,21.400000000000006,0.096756247,0.072912869
114,5007,7.8,9.6,34.5,35.0,21.400000000000006,0.109252842,0.088904694
115,5009,10.1,12.4,34.5,35.0,21.400000000000006,0.0269811,0.0
116,5011,12.2,13.1,34.5,35.0,21.400000000000006,0.087527352,0.091082977
117,5013,12.6,13.7,34.5,35.0,21.400000000000006,0.0,0.0
118,5015,10.9,13.0,34.5,35.0,21.400000000000006,0.072865054,0.0
119,5017,14.7,15.2,34.5,35.0,21.400000000000006,0.0,0.0
120,5019,10.1,11.6,34.5,35.0,21.400000000000006,0.08726765,0.088691796
121,5021,12.0,11.1,34.5,35.0,21.400000000000006,0.063004032,0.066414292
122,5023,11.9,13.5,34.5,35.0,21.400000000000006,0.038625,0.0
123,5025,11.8,13.0,34.5,35.0,21.400000000000006,0.0,0.0
124,5027,12.0,12.9,34.5,35.0,21.400000000000006,0.162061421,0.083392403
125,5029,10.4,13.7,34.5,35.0,21.400000000000006,0.094719394,0.0478583
126,5031,10.1,13.1,34.5,35.0,21.400000000000006,0.091547147,0.056721
127,5033,8.2,11.4,34.5,35.0,21.400000000000006,0.064725966,0.096371609
128,5035,13.8,15.8,34.5,35.0,21.400000000000006,0.0396008,0.0405515
129,5037,12.3,13.6,34.5,35.0,21.400000000000006,0.112384806,0.11739156
130,5039,13.6,14.4,34.5,35.0,21.400000000000006,0.0,0.0
131,5041,13.3,15.1,34.5,35.0,21.400000000000006,0.078573112,0.0
132,5043,10.6,13.6,34.5,35.0,21.400000000000006,0.0534045,0.0
133,5045,9.3,11.2,34.5,35.0,21.400000000000006,0.103249787,0.057338
134,5047,10.9,13.8,34.5,35.0,21.400000000000006,0.0,0.0
135,5049,11.4,15.6,34.5,35.0,21.400000000000006,0.0,0.083063377
136,5051,10.2,14.5,34.5,35.0,21.400000000000006,0.072288659,0.0407203
137,5053,9.4,11.1,34.5,35.0,21.400000000000006,0.0,0.0552669
138,5055,9.6,12.9,34.5,35.0,21.400000000000006,0.093565063,0.06709158
139,5057,13.0,13.5,34.5,35.0,21.400000000000006,0.133392619,0.0
140,5059,10.7,12.2,34.5,35.0,21.400000000000006,0.030185,0.0597979
141,5061,11.8,13.4,34.5,35.0,21.400000000000006,0.072353665,0.074415836
142,5063,10.1,13.1,34.5,35.0,21.400000000000006,0.05428,0.107834151
143,5065,9.8,15.5,34.5,35.0,21.400000000000006,0.0,0.0
144,5067,11.4,12.9,34.5,35.0,21.400000000000006,0.111831805,0.0
145,5069,12.5,15.4,34.5,35.0,21.400000000000006,0.026313,0.0142163
146,5071,9.9,12.5,34.5,35.0,21.400000000000006,0.039,0.0381316
147,5073,13.5,15.3,34.5,35.0,21.400000000000006,0.0,0.0
148,5075,11.2,13.2,34.5,35.0,21.400000000000006,0.0,0.0600998
149,5077,12.7,13.1,34.5,35.0,21.400000000000006,0.0,0.0
150,5079,10.4,12.3,34.5,35.0,21.400000000000006,0.069754464,0.072411296
151,5081,11.9,12.9,34.5,35.0,21.400000000000006,0.0,0.0
152,5083,9.6,13.8,34.5,35.0,21.400000000000006,0.0449863,0.0
153,5085,10.9,13.1,34.5,35.0,21.400000000000006,0.0287944,0.0418078
154,5087,9.8,11.8,34.5,35.0,21.400000000000006,0.0,0.0
155,5089,11.8,12.2,34.5,35.0,21.400000000000006,0.0,0.0
156,5091,13.8,12.3,34.5,35.0,21.400000000000006,0.068569861,0.068377627
157,5093,12.6,15.9,34.5,35.0,21.400000000000006,0.0434679,0.116590883
158,5095,13.3,17.2,34.5,35.0,21.400000000000006,0.0,0.138217001
159,5097,10.9,14.3,34.5,35.0,21.400000000000006,0.0,0.0
160,5099,13.2,13.9,34.5,35.0,21.400000000000006,0.0,0.0
161,5101,12.7,12.8,34.5,35.0,21.400000000000006,0.0,0.0
162,5103,13.4,14.8,34.5,35.0,21.400000000000006,0.116604478,0.12490112
163,5105,10.0,12.2,34.5,35.0,21.400000000000006,0.0,0.0
164,5107,13.8,16.7,34.5,35.0,21.400000000000006,0.0467181,0.104986877
165,5109,11.0,12.4,34.5,35.0,21.400000000000006,0.0,0.0
166,5111,11.9,13.8,34.5,35.0,21.400000000000006,0.0,0.0
167,5113,10.7,13.9,34.5,35.0,21.400000000000006,0.0486523,0.099299935
168,5115,9.6,11.2,34.5,35.0,21.400000000000006,0.095764037,0.093967299
169,5117,11.1,14.3,34.5,35.0,21.400000000000006,0.0,0.0
170,5119,10.0,12.0,34.5,35.0,21.400000000000006,0.126720096,0.114306906
171,5121,11.4,12.7,34.5,35.0,21.400000000000006,0.111296605,0.114889706
172,5123,12.9,16.4,34.5,35.0,21.400000000000006,0.0,0.038017
173,5125,9.6,11.8,34.5,35.0,21.400000000000006,0.082185026,0.102060777
174,5127,10.9,11.4,34.5,35.0,21.400000000000006,0.0,0.0
175,5129,12.5,13.4,34.5,35.0,21.400000000000006,0.0,0.0
176,5131,10.1,12.9,34.5,35.0,21.400000000000006,0.118179096,0.101907233
177,5133,12.1,12.2,34.5,35.0,21.400000000000006,0.0582242,0.0589797
178,5135,11.2,15.2,34.5,35.0,21.400000000000006,0.0579072,0.0583499
179,5137,11.0,12.7,34.5,35.0,21.400000000000006,0.0,0.08
180,5139,11.1,13.5,34.5,35.0,21.400000000000006,0.0483244,0.0250834
181,5141,11.1,12.9,34.5,35.0,21.400000000000006,0.0581463,0.0601612
182,5143,7.8,9.1,34.5,35.0,21.400000000000006,0.115532364,0.105448155
183,5145,8.8,10.1,34.5,35.0,21.400000000000006,0.12819691,0.08878967
184,5147,12.2,14.7,34.5,35.0,21.400000000000006,0.0,0.150988978
185,5149,11.7,12.9,34.5,35.0,21.400000000000006,0.0,0.0
186,6001,7.6,8.5,25.0,25.1,27.5,0.094634239,0.094360394
187,6003,8.4,10.3,25.0,25.1,27.5,0.0,0.0
188,6005,9.3,10.2,25.0,25.1,27.5,0.106555849,0.106743522
189,6007,8.3,10.2,25.0,25.1,27.5,0.072726281,0.097119523
190,6009,7.3,10.0,25.0,25.1,27.5,0.110710095,0.088270992
191,6011,7.6,9.6,25.0,25.1,27.5,0.0,0.092400092
192,6013,7.0,9.4,25.0,25.1,27.5,0.105985657,0.122953159
193,6015,8.1,8.4,25.0,25.1,27.5,0.070306183,0.0
194,6017,7.1,7.5,25.0,25.1,27.5,0.082884376,0.144949321
195,6019,8.5,9.4,25.0,25.1,27.5,0.0414735,0.063295404
196,6021,7.7,8.4,25.0,25.1,27.5,0.0355114,0.0
197,6023,9.4,8.8,25.0,25.1,27.5,0.096126117,0.124588674
198,6025,6.7,8.3,25.0,25.1,27.5,0.0340605,0.071831142
199,6027,8.0,9.4,25.0,25.1,27.5,0.21737949,0.0554508
200,6029,7.0,9.3,25.0,25.1,27.5,0.0483054,0.054232
201,6031,5.7,7.5,25.0,25.1,27.5,0.072354141,0.0467299
202,6033,9.2,10.1,25.0,25.1,27.5,0.0622345,0.093823299
203,6035,6.5,7.6,25.0,25.1,27.5,0.116808784,0.0323164
204,6037,7.8,9.1,25.0,25.1,27.5,0.072223361,0.09250723
205,6039,7.8,7.9,25.0,25.1,27.5,0.0460902,0.0516242
206,6041,6.4,7.9,25.0,25.1,27.5,0.219173793,0.271477295
207,6043,8.3,10.7,25.0,25.1,27.5,0.11004732,0.114129194
208,6045,7.0,8.4,25.0,25.1,27.5,0.194581478,0.148386581
209,6047,7.5,9.2,25.0,25.1,27.5,0.0500757,0.070664019
210,6049,8.2,10.4,25.0,25.1,27.5,0.0,0.0
211,6051,7.0,7.4,25.0,25.1,27.5,0.069788541,0.141833912
212,6053,7.8,7.6,25.0,25.1,27.5,0.0593596,0.06645843
213,6055,7.3,8.4,25.0,25.1,27.5,0.145027374,0.16237319
214,6057,6.9,7.7,25.0,25.1,27.5,0.182344956,0.201912108
215,6059,7.0,8.0,25.0,25.1,27.5,0.098904032,0.134059099
216,6061,7.1,9.0,25.0,25.1,27.5,0.13185765,0.142201811
217,6063,8.0,9.8,25.0,25.1,27.5,0.152160682,0.159684888
218,6065,8.1,9.0,25.0,25.1,27.5,0.0590369,0.075423566
219,6067,8.4,8.4,25.0,25.1,27.5,0.084349595,0.097802096
220,6069,7.2,7.6,25.0,25.1,27.5,0.0535389,0.117974214
221,6071,7.7,9.2,25.0,25.1,27.5,0.0528515,0.0584896
222,6073,7.1,7.7,25.0,25.1,27.5,0.102555381,0.12209092
223,6075,7.9,7.9,25.0,25.1,27.5,0.135980419,0.162081399
224,6077,7.9,10.3,25.0,25.1,27.5,0.0517933,0.066730765
225,6079,6.4,8.5,25.0,25.1,27.5,0.132767841,0.141702269
226,6081,6.8,8.3,25.0,25.1,27.5,0.144028575,0.13904031
227,6083,7.5,7.1,25.0,25.1,27.5,0.122049111,0.134439923
