,FIPS,GROCPTH11,GROCPTH16,SUPERCPTH11,SUPERCPTH16,CONVSPTH11,CONVSPTH16,SNAPSPTH12,SNAPSPTH17,WICSPTH11,WICSPTH16
2884,51135,0.314901121,0.25789813,0.062980224,0.064474533,1.133644036,1.096067054,1.1528742893240682,1.414625718111529,0.18894067406654358,0.129023939371109
2885,51137,0.11765398,0.084552296,0.0,0.0281841,0.558856403,0.563681971,0.6083435535050321,0.7900645912455299,0.08825606107711792,0.1130550280213356
2886,51139,0.250490544,0.211945233,0.0417484,0.042389,0.667974784,0.593446653,0.7498081886029156,0.8146868371890496,0.20872469246387482,0.16941973567008972
2887,51141,0.218233401,0.112555574,0.0545584,0.0562778,0.654700202,0.844166807,0.9529745451917693,0.8868761203887159,0.21818578243255615,0.1687004417181015
2888,51143,0.094848164,0.097287306,0.0,0.0,0.695553202,0.599938385,0.8597767764739598,0.7794900257925494,0.06323111057281494,0.048614487051963806
2889,51145,0.142222222,0.105641242,0.0,0.0352137,0.497777778,0.528206212,0.24890658891298936,0.24474668717877,0.07111869752407074,0.10547039657831192
2890,51147,0.172213372,0.086869652,0.0430533,0.0434348,0.861066862,1.042435825,0.9431391112258658,1.0057407978387587,0.17929179966449738,0.08685833215713501
2891,51149,0.081730507,0.0529003,0.0,0.0,0.326922029,0.370301796,0.4534257329254757,0.3945268763169263,0.0817149206995964,0.0528094619512558
2892,51153,0.152529487,0.140178728,0.0119164,0.0240932,0.276459695,0.2672157,0.39275928503866014,0.40584736971309565,0.07158605754375458,0.07658258080482483
2893,51155,0.201520037,0.146028037,0.0575772,0.0584112,0.546982957,0.554906542,1.1275525871334253,0.9653639129417272,0.20151422917842865,0.20452885329723358
2894,51157,0.133832976,0.27273967,0.0,0.0,0.669164882,0.54547934,0.13412017167381973,0.13659336156262805,,
2895,51159,0.108613012,0.113843352,0.0,0.0,0.651678071,0.569216758,1.076277734849321,0.7737629115859342,0.10860121995210648,0.11416828632354736
2896,51161,0.140015294,0.117819693,0.0,0.0107109,0.420045882,0.417724366,0.5570445958601091,0.4881041288808279,0.14008620381355286,0.16064944863319397
2897,51163,0.089130532,0.133862835,0.0445653,0.0446209,1.025001114,0.981660792,0.7777380846059956,0.7980640510760995,0.13365410268306732,0.08938147872686386
2898,51165,0.130125311,0.126106585,0.0130125,0.0126107,0.468451118,0.517037,0.4447114866931125,0.47053984319493436,0.06506180763244629,0.07564010471105576
2899,51167,0.139586823,0.073008688,0.0348967,0.0365043,0.628140704,0.584069504,1.0839632038436748,0.8472591935324855,0.10467550903558731,0.0730326846241951
2900,51169,0.260179524,0.363174142,0.0,0.0,0.910628334,1.044125658,1.5144199113296168,1.4406585867825292,0.2168726921081543,0.22747953236103058
