,FIPS,County,State,2010_Census_Population,Population_Estimate_2011,Population_Estimate_2012,Population_Estimate_2013,Population_Estimate_2014,Population_Estimate_2015,Population_Estimate_2016,Population_Estimate_2017,Population_Estimate_2018
123,5025,Cleveland County, Arkansas,8689,8673,8608,8515,8398,8284,8249,8181,8018
124,5027,Columbia County, Arkansas,24552,24703,24407,24282,24046,24126,24049,23700,23537
125,5029,Conway County, Arkansas,21273,21127,21139,21085,20991,20930,20871,20848,20891
126,5031,Craighead County, Arkansas,96443,98392,99986,101644,102661,104419,105830,107037,108558
127,5033,Crawford County, Arkansas,61948,61807,61923,61679,61817,61910,62309,62917,63406
128,5035,Crittenden County, Arkansas,50902,50511,50075,49747,49577,49071,49345,48730,48342
129,5037,Cross County, Arkansas,17870,17808,17704,17523,17183,17254,17024,16852,16676
130,5039,Dallas County, Arkansas,8116,8053,7951,7892,7692,7531,7402,7354,7182
131,5041,Desha County, Arkansas,13008,12729,12588,12500,12270,12022,11899,11732,11512
132,5043,Drew County, Arkansas,18509,18732,18786,18683,18640,18617,18552,18373,18328
133,5045,Faulkner County, Arkansas,113237,116270,118523,119184,120567,121209,122100,123397,124806
134,5047,Franklin County, Arkansas,18125,18001,17952,17907,17820,17755,17669,17844,17810
135,5049,Fulton County, Arkansas,12245,12239,12170,12171,12083,12137,12096,12112,12269
136,5051,Garland County, Arkansas,96024,96852,96989,97653,97754,97816,98311,98444,99154
137,5053,Grant County, Arkansas,17853,17945,18036,18044,18073,18014,18059,18096,18188
138,5055,Greene County, Arkansas,42090,42757,43226,43160,43787,44298,44730,44977,45325
139,5057,Hempstead County, Arkansas,22609,22486,22344,22427,22338,22094,22036,21881,21741
140,5059,Hot Spring County, Arkansas,32923,33136,33497,33516,33400,33480,33419,33600,33701
141,5061,Howard County, Arkansas,13789,13820,13681,13557,13510,13353,13366,13377,13341
142,5063,Independence County, Arkansas,36647,36881,36951,36883,37079,37034,37118,37409,37678
143,5065,Izard County, Arkansas,13696,13569,13537,13406,13553,13483,13486,13680,13593
144,5067,Jackson County, Arkansas,17997,17887,17682,17733,17595,17371,17290,17057,16811
145,5069,Jefferson County, Arkansas,77435,76032,74642,73202,72469,71868,70400,69269,68114
146,5071,Johnson County, Arkansas,25540,25668,25909,25930,25971,26103,26150,26489,26742
147,5073,Lafayette County, Arkansas,7645,7535,7450,7285,7164,7015,6893,6822,6682
148,5075,Lawrence County, Arkansas,17415,17280,17040,17055,16971,16702,16649,16590,16434
149,5077,Lee County, Arkansas,10424,10293,10185,10013,9843,9676,9340,9147,8985
150,5079,Lincoln County, Arkansas,14134,14339,14181,14062,14030,13866,13724,13473,13383
151,5081,Little River County, Arkansas,13171,12943,12916,12739,12524,12421,12421,12393,12326
152,5083,Logan County, Arkansas,22353,22240,21924,22026,21859,21713,21725,21753,21737
153,5085,Lonoke County, Arkansas,68356,69497,70079,70715,71338,71336,71819,72878,73657
154,5087,Madison County, Arkansas,15717,15660,15596,15680,15733,15707,16112,16349,16481
155,5089,Marion County, Arkansas,16653,16672,16622,16443,16420,16211,16378,16460,16722
156,5091,Miller County, Arkansas,43462,43757,43660,43461,43566,43912,43842,43884,43592
157,5093,Mississippi County, Arkansas,46480,46024,45550,44697,44250,43715,42879,42073,41239
158,5095,Monroe County, Arkansas,8149,8098,7853,7690,7635,7453,7203,7052,6900
159,5097,Montgomery County, Arkansas,9487,9397,9337,9250,9158,9029,8949,8907,8924
160,5099,Nevada County, Arkansas,8997,9008,8910,8777,8651,8513,8380,8328,8326
161,5101,Newton County, Arkansas,8330,8262,8062,8054,7879,7858,7860,7837,7805
162,5103,Ouachita County, Arkansas,26120,25737,25401,24952,24763,24321,24015,23824,23606
163,5105,Perry County, Arkansas,10445,10377,10321,10328,10353,10298,10274,10335,10352
164,5107,Phillips County, Arkansas,21757,21407,20740,20443,19960,19557,19062,18564,18029
165,5109,Pike County, Arkansas,11291,11239,11252,11119,10987,10835,10825,10721,10673
166,5111,Poinsett County, Arkansas,24583,24445,24296,24185,24152,24016,24007,24121,23974
167,5113,Polk County, Arkansas,20662,20558,20420,20349,20255,20196,20151,20162,20049
168,5115,Pope County, Arkansas,61754,62676,62621,62583,63111,63577,63876,63655,64000
169,5117,Prairie County, Arkansas,8715,8597,8481,8374,8345,8297,8252,8250,8074
170,5119,Pulaski County, Arkansas,382748,386982,389257,391544,392990,393643,394386,393616,392680
171,5121,Randolph County, Arkansas,17969,17971,17839,17626,17568,17427,17427,17645,17948
172,5123,St. Francis County, Arkansas,28258,27989,27993,27510,27096,26654,26344,25938,25439
173,5125,Saline County, Arkansas,107118,109541,111430,113339,114861,116397,117695,119669,121421
174,5127,Scott County, Arkansas,11233,11238,11009,10911,10665,10540,10313,10374,10319
175,5129,Searcy County, Arkansas,8195,8071,7999,7985,7917,7831,7964,7947,7958
176,5131,Sebastian County, Arkansas,125744,127027,127597,127211,126784,127428,127477,127865,127753
177,5133,Sevier County, Arkansas,17058,17217,17190,17370,17429,17272,16980,17146,17139
178,5135,Sharp County, Arkansas,17264,17271,17035,17045,16822,16811,17014,17200,17366
179,5137,Stone County, Arkansas,12394,12499,12541,12423,12379,12380,12498,12517,12457
180,5139,Union County, Arkansas,41639,41398,40862,40606,40140,40093,39883,39420,39126
181,5141,Van Buren County, Arkansas,17295,17189,17136,16960,16880,16773,16629,16533,16603
182,5143,Washington County, Arkansas,203065,208038,211751,216011,219976,224491,228438,232780,236961
183,5145,White County, Arkansas,77076,78065,78629,78553,78459,78925,78967,78941,78727
184,5147,Woodruff County, Arkansas,7260,7176,7066,7031,6874,6721,6616,6600,6490
185,5149,Yell County, Arkansas,22185,21965,21830,21823,21774,21513,21501,21544,21535
186,6001,Alameda County, California,1510271,1530998,1554138,1580247,1608674,1634634,1650306,1658131,1666753
187,6003,Alpine County, California,1175,1093,1110,1127,1082,1087,1057,1121,1101
188,6005,Amador County, California,38091,37538,37101,36625,36738,37037,37438,38551,39383
189,6007,Butte County, California,220000,219952,220873,221664,223570,224812,226529,229207,231256
190,6009,Calaveras County, California,45578,45160,44821,44660,44673,44957,45303,45642,45602
191,6011,Colusa County, California,21419,21327,21294,21265,21198,21269,21553,21675,21627
192,6013,Contra Costa County, California,1049025,1065452,1077731,1093758,1109358,1124606,1137194,1144863,1150215
193,6015,Del Norte County, California,28610,28442,28189,27817,27198,27246,27422,27428,27828
194,6017,El Dorado County, California,181058,180918,180578,181497,183161,184660,186082,188722,190678
195,6019,Fresno County, California,930450,939479,945349,952029,961311,970442,977956,986542,994400
196,6021,Glenn County, California,28122,28144,27860,27826,27857,27776,27851,27956,28047
197,6023,Humboldt County, California,134623,135215,134560,134407,134514,135114,136314,136527,136373
198,6025,Imperial County, California,174528,175813,176678,176605,178233,179179,180268,181574,181827
199,6027,Inyo County, California,18546,18393,18353,18360,18320,18174,17996,17948,17987
200,6029,Kern County, California,839631,848140,853963,862557,869957,877197,882361,888988,896764
201,6031,Kings County, California,152982,151886,151026,150416,149603,150199,149509,149696,151366
202,6033,Lake County, California,64665,64247,63963,63809,64058,64254,63884,64162,64382
203,6035,Lassen County, California,34895,34238,33624,32126,31710,31383,30906,31123,30802
204,6037,Los Angeles County, California,9818605,9876727,9938436,9998105,10048408,10097037,10120540,10118759,10105518
205,6039,Madera County, California,150865,151702,151594,151470,153590,153739,154160,155904,157672
206,6041,Marin County, California,252409,255363,256072,258453,260435,261016,260633,259725,259666
207,6043,Mariposa County, California,18251,18168,17880,17808,17713,17622,17455,17437,17471
208,6045,Mendocino County, California,87841,87334,87304,87077,87257,87168,87382,87697,87606
