"fips","redemp_snaps","pct_snap","pc_snapben","snap_part_rate","pc_wic_redemp","redemp_wics","pct_wic","pct_wicinfantchild","food_banks","foodinsec__","vlfoodsec__","fmrktpth","pct_diabetes_adults","pct_obese_adults","pct_hspa","recfacpth","medhhinc","povrate","perpov","childpovrate","perchldpov","metro","census_population","population_estimate","pct_laccess_pop","pct_laccess_lowi","pct_laccess_hhnv","pct_laccess_snap","grocpth","supercpth","convspth","snapspth","wicspth","ffrpth","fsrpth","pc_ffrsales","pc_fsrsales"
"2290.0","90759.5024621532","12.26899474286179","80.56543350219727","75.1525","24.455307960510254","16927.94921875","2.937568421453688","26.757116688561233","0.0","11.8","4.0","0.2735882699489593","7.6000000000000005","29.950000000000003","18.40000000000001","0.0","37755.0","23.4","1.0","34.4","1.0","0.0","5588.0","5486.875","99.99999991746161","49.917345069033644","50.27955868225801","32.40852845002016","1.8970156885","0.0","0.9023142005","6.280227666858875","1.4445467591285706","0.0","0.4511571005","547.0981490162595","706.446537941665"
"4001.0","392897.3447798685","15.134669652373436","45.329345703125","75.75450000000001","30.644566535949707","83224.015625","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.013873752672225199","14.0","27.75","24.5","0.0","31072.0","38.0","1.0","44.7","1.0","0.0","71518.0","71796.625","67.95046813727795","45.60977630230809","11.545229739145228","20.10629854964468","0.132321278","0.0","0.5227490285","0.7276506618043055","0.3691580146551132","0.1949009645","0.2160737705","669.109635044187","691.1081932875807"
"4003.0","333123.7985763792","15.134669652373436","21.15910816192627","75.75450000000001","20.37611961364746","159572.8515625","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.023405811749398653","9.350000000000001","27.75","24.5","0.0653003635","43451.0","16.9","0.0","25.7","0.0","1.0","131346.0","128267.625","40.672662517911206","13.402913618530558","2.9087549589875845","5.351970821068437","0.12023009100000001","0.019487499999999998","0.4496947365","0.7583141379045161","0.1276774518191814","0.49083513349999996","0.681265909","669.109635044187","691.1081932875807"
"4005.0","426233.73825251975","15.134669652373436","19.687756538391113","75.75450000000001","10.819770336151123","67375.45703125","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.014157527592033101","7.35","27.75","24.5","0.072643473","51955.0","19.5","0.0","20.7","1.0","1.0","134421.0","138527.125","30.53568176259416","13.46376427412261","3.03678116405838","5.20694561962026","0.1347355575","0.021887200000000002","0.5948368804999999","0.6155113904073275","0.16020855307579035","0.9152211715","1.1547249115","669.109635044187","691.1081932875807"
"4007.0","420486.73456231283","15.134669652373436","30.098541259765625","75.75450000000001","17.931935787200928","110434.125","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.02798670995980495","11.05","27.75","24.5","0.0655599995","41346.0","21.3","0.0","36.6","0.0","0.0","53597.0","53308.375","28.231417135327256","13.686163761921255","3.892739437622934","6.722934248297728","0.12180442600000001","0.02812225","0.5809657615","0.8306180073501412","0.15910103917121887","0.6090660320000001","0.9651857235","669.109635044187","691.1081932875807"
"4009.0","437284.5537275707","15.134669652373436","23.252901077270508","75.75450000000001","8.032129526138306","60339.775390625","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.02648271992802615","9.7","27.75","24.5","0.06688327899999999","44169.0","22.9","0.0","26.9","1.0","0.0","37220.0","37625.625","34.332310645813536","16.35404574391017","4.406678727877271","9.681956678616098","0.1602446845","0.02670745","0.4942024295","0.6632734868410262","0.13342109322547904","0.467953592","0.440787535","669.109635044187","691.1081932875807"
"4012.0","169130.14855045668","15.134669652373436","23.35132884979248","75.75450000000001","13.241827726364138","35675.4248046875","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.0","13.4","27.75","24.5","0.0","34835.0","22.2","0.0","36.9","1.0","0.0","20489.0","20647.0","43.25425810651815","18.948481469262404","6.14608541127593","5.4985451642002285","0.316228961","0.04865595","0.9731894685","1.6486294882436132","0.33930048346519465","0.7784957045","1.3381442495","669.109635044187","691.1081932875807"
"4013.0","389049.54010139935","15.134669652373436","16.580410957336426","75.75450000000001","16.52014446258545","161035.609375","2.5701793013568803","29.064667929106037","1.0","18.65","7.3","0.0085264220833778","8.2","27.75","24.5","0.07939594350000001","56017.0","16.3","0.0","23.0","0.0","1.0","3817117.0","4138984.125","13.144694367426645","4.0334272560019775","0.8826846536570928","1.3455767589114704","0.117824388","0.0224395","0.243647827","0.5062481078667022","0.10263623669743535","0.703362102","0.5861826210000001","669.109635044187","691.1081932875807"
"4015.0","441352.92699421983","15.134669652373436","23.79816722869873","75.75450000000001","15.143680095672607","145675.3046875","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.0023860654328018","11.95","27.75","24.5","0.0686423515","40360.0","17.4","0.0","29.8","0.0","1.0","200186.0","204954.375","44.13772340756834","18.63295974210679","2.759498139806425","7.867000645803681","0.0956442475","0.017136699999999998","0.438569393","0.6787369412732731","0.10289719328284261","0.570762271","0.6273597435","669.109635044187","691.1081932875807"
"4017.0","524698.9691966951","15.134669652373436","38.05716323852539","75.75450000000001","20.954898834228516","90234.7890625","2.5701793013568803","29.064667929106037","0.0","18.65","7.3","0.027581140398979152","13.0","27.75","24.5","0.0324146","37658.0","28.1","1.0","36.7","1.0","0.0","107449.0","108191.0","35.82464916489312","21.61874319479902","7.3892410227090135","11.305959970336785","0.13902829100000003","0.023148349999999998","0.5421274955","0.8193190859646462","0.23145527392625806","0.5559060645","0.685668104","669.109635044187","691.1081932875807"
