FIPS,GROCPTH11,GROCPTH16,PCH_GROCPTH_11_16
4021,0.081961579,0.074678101,-8.886453152
4023,0.147012496,0.217037439,47.63196651
4025,0.15174291,0.129254824,-14.81985945
4027,0.162897804,0.150878747,-7.378280451
5001,0.158990938,0.164699424,3.590447433
5003,0.322982513,0.097570495,-69.79078098
5005,0.169323432,0.194434318,14.83013038
5007,0.117993069,0.143020595,21.21101365
5009,0.134905431,0.18821758,39.518163
5011,0.262582057,0.182165953,-30.62513283
5013,0.381460996,0.0,-100.0
5015,0.218595162,0.180323139,-17.50817465
5017,0.42760626,0.366568915,-14.27419355
5019,0.1745353,0.088691796,-49.18403548
5021,0.189012097,0.265657169,40.5503531
5023,0.308999614,0.278230454,-9.957669224
5025,0.230627306,0.242130751,4.987893462
5027,0.202576777,0.125088604,-38.25126131
5029,0.189438788,0.191433357,1.052883465
5031,0.172922388,0.198523364,14.8048938
5033,0.129451933,0.128495479,-0.738849002
5035,0.198004118,0.182481752,-7.839416058
5037,0.224769611,0.176087339,-21.65874274
5039,0.248539829,0.269179004,8.304172275
5041,0.471438674,0.33557047,-28.81991052
5043,0.106809079,0.107365257,0.520721495
5045,0.120458085,0.106484932,-11.60001217
5047,0.111154338,0.113179786,1.822194556
5049,0.081712698,0.083063377,1.652961209
5051,0.144577318,0.162881371,12.66039089
5053,0.111532456,0.221067757,98.20935117
5055,0.116956329,0.15654702,33.85083305
5057,0.222321032,0.13620267,-38.73603923
5059,0.181110206,0.179393649,-0.947796448
5061,0.289414659,0.223247507,-22.86240512
5063,0.13569994,0.188709764,39.06399957
5065,0.294833051,0.296515938,0.57079318
5067,0.167747707,0.173320238,3.321971229
5069,0.171034628,0.213243866,24.67876725
5071,0.039,0.0381316,-2.226882745
5073,0.132749237,0.144341801,8.732678984
5075,0.231535078,0.180299297,-22.1287337
5077,0.097172286,0.106837607,9.946581197
5079,0.069754464,0.072411296,3.808834178
5081,0.231767614,0.160901046,-30.57656208
5083,0.134958838,0.092110717,-31.749029
5085,0.129574707,0.083615536,-35.46924574
5087,0.255493102,0.124185036,-51.39397703
5089,0.239908835,0.18327326,-23.60712322
5091,0.159996343,0.159547796,-0.28034827
5093,0.326008998,0.233181765,-28.47382535
5095,0.493949123,0.414651002,-16.05390463
