FIPS,FFRPTH11,FFRPTH16,PCH_FFRPTH_11_16
4021,0.359573377,0.317984173,-11.56626335
4023,0.588049984,0.520889853,-11.42082009
4025,0.630681468,0.619531741,-1.767885615
4027,0.498566006,0.588913819,18.12153502
5001,0.847951667,0.494098271,-41.73037332
5003,0.738245744,0.73177871,-0.876000098
5005,0.701482789,0.753432981,7.405768497
5007,0.642406709,0.630063702,-1.921369544
5009,0.64754607,0.645317416,-0.344169288
5011,0.262582057,0.455414883,73.43716793
5013,0.190730498,0.193723363,1.569159241
5015,0.546487904,0.540969417,-1.009809579
5017,0.513127512,0.458211144,-10.70228495
5019,0.785408849,1.019955654,29.86302045
5021,0.56703629,0.398485754,-29.72482345
5023,0.579374276,0.71544974,23.48662507
5025,0.230627306,0.242130751,4.987893462
5027,0.60773033,0.875620231,44.08039028
5029,0.331517878,0.478583393,44.36126209
5031,0.813752416,0.794093457,-2.415840274
5033,0.485444748,0.417610305,-13.97366914
5035,0.653413591,0.608272506,-6.908501069
5037,0.505731625,0.645653578,27.66723406
5039,0.372809743,0.538358008,44.40556303
5041,0.707158011,0.838926174,18.63348248
5043,0.694259012,0.751556796,8.253084686
5045,0.619498722,0.688056486,11.06665138
5047,0.333463013,0.282949465,-15.1481712
5049,0.326850793,0.332253509,1.652961209
5051,0.8055022,0.8551272,6.16075295
5053,0.27883114,0.276334697,-0.895324417
5055,0.631564174,0.58146036,-7.933289434
5057,0.444642063,0.635612458,42.94924181
5059,0.482960548,0.538180948,11.433729
5061,0.578829318,0.744158357,28.56265813
5063,0.732779678,0.647004906,-11.7053971
5065,0.294833051,0.296515938,0.57079318
5067,0.335495415,0.462187301,37.76262831
5069,0.763077571,0.824542947,8.05493162
5071,0.546000546,0.457578646,-16.19447093
5073,0.265498473,0.433025404,63.09901848
5075,0.347302616,0.360598594,3.828355069
5077,0.291516859,0.320512821,9.946581197
5079,0.069754464,0.362056481,419.0441709
5081,0.309023486,0.482703138,56.20273532
5083,0.404876513,0.506608944,25.12678017
5085,0.561490397,0.487757292,-13.13167696
5087,0.191619826,0.186277554,-2.787954052
5089,0.359863252,0.427637608,18.83336388
5091,0.571415511,0.50143593,-12.24670648
5093,0.630284063,0.676227119,7.28926198
5095,0.493949123,0.829302004,67.89219074
5097,0.212833883,0.558721645,162.5153648
5099,0.333148251,0.358251732,7.535228087
5101,0.242072137,0.254161901,4.994281357
5103,0.427549751,0.707773013,65.54167345
5105,0.289100896,0.194685097,-32.658425
5107,0.513898622,0.524934383,2.14745884
5109,0.267094017,0.46223537,73.06092262
5111,0.736497545,0.624791736,-15.1671665
5113,0.486523304,0.347549774,-28.56461943
5115,0.813994318,0.830044478,1.971777874
5117,0.465116279,0.362713094,-22.0166848
5119,0.879282299,0.927156019,5.444635935
