FIPS,LACCESS_POP10,LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15
19121,2840.184797,2579.275534,540.8541476,511.5899525,92.9202523,87.56074971
19123,5137.28892,5136.103698,1750.022114,1804.562363,149.6218305,211.8622018
19125,4677.589184,4309.845092,989.2191879,887.144505,173.9441534,170.9588368
19127,9546.755097,8684.091874,2442.026078,2087.68065,212.975581,190.5782236
19129,1303.557801,1564.62734,429.5942973,448.3592501,75.98539507,77.2967553
19131,2222.425261,2222.425261,604.5461905,812.2140847,126.0189582,131.7101685
19133,1399.298735,1399.298735,324.9139696,399.8179266,98.48485894,74.72007436
19135,1700.858495,1987.906896,534.5711217,675.0051758,47.85816095,100.1903584
19137,2142.830337,2148.18851,789.8144501,849.1790108,77.25146217,69.93978323
19139,10213.23788,8657.287614,3066.225952,2487.007571,368.0869571,169.5309386
19141,3105.009699,4080.002099,1173.612683,1246.33493,111.0316929,98.30696878
19143,1177.982369,1194.545901,321.5405653,248.3875108,45.07115654,71.5925353
19145,4586.749916,3799.936496,2384.122167,2084.420813,94.06746976,78.94562652
19147,3178.297639,2054.774583,890.9941033,748.2102791,54.1081652,58.04753572
19149,1028.151871,747.5570488,159.4668743,159.2974762,111.0628723,95.76567163
19151,1802.1662,1326.016016,662.8928281,507.7109033,75.69919163,59.0839397
19153,87817.672,64531.0553,26484.4754,15593.42288,2570.551713,1505.532081
19155,35079.34614,32133.11889,11342.31687,10469.10162,769.2599512,878.6013761
19157,3582.339732,3582.339732,880.3279606,973.5932023,150.1069243,117.9421068
19159,593.0126699,560.2521002,176.3285989,175.4131015,52.41311048,83.79234826
19161,2045.005652,3735.675227,661.8468649,1197.095372,120.2339021,143.5088492
19163,19208.94497,18170.15778,4820.203742,4665.916898,654.7272256,601.8638209
19165,3195.094797,3181.926402,1013.13008,1078.561215,114.0046269,109.6096476
19167,1397.084105,1430.539205,437.2657968,361.560186,107.9837026,149.0524883
19169,16124.91384,17893.21695,6786.155711,8707.341648,558.1471834,481.0227804
19171,3204.282788,3032.755222,1183.870047,1081.055253,156.1731594,136.7084871
19173,499.1522174,267.9640014,168.3137702,71.4278709,30.27816582,29.84813915
19175,2442.46387,2448.153882,669.9565138,784.9926974,94.2889871,83.88747463
19177,6901.134881,3945.212165,2661.227968,1644.202512,172.8500278,157.3417729
19179,9882.063843,15751.46709,3984.339081,7769.150346,378.6916539,655.2534449
19181,10136.16332,6544.853166,2234.8932,1329.477059,253.5287242,188.6168848
19183,1490.859424,1492.376035,508.0295214,327.8880365,118.7641598,85.17506248
19185,2560.353481,2560.353481,1105.726374,1066.779133,164.777209,113.3262476
19187,8414.218038,8850.078363,2358.806368,2969.280892,206.0839119,290.6489957
19189,1920.11219,1917.684627,601.2685504,592.5288031,71.58432456,47.18359475
19191,2877.110715,2590.807684,677.8158755,716.838921,116.0949158,90.42857439
19193,32231.24385,26350.53273,12544.07149,9815.094052,1009.854411,662.8712372
19195,610.4442171,619.173184,84.91462035,195.3086971,63.209082,83.88510077
19197,887.3718882,889.518561,284.268534,297.1317689,64.88203317,42.39870529
20001,5343.11947,5343.11947,1785.185028,2607.828267,215.2579833,160.405617
20003,1808.224076,1808.224076,753.2758986,625.4014077,75.5881408,131.6079612
20005,3503.227544,2710.647988,1321.423427,967.2135377,182.800328,131.3151465
20007,555.5888692,544.5189815,202.6935245,129.9914623,28.35182528,23.8157823
20009,6373.227849,6371.898981,2116.059375,2537.906335,157.5831414,160.3395212
20011,3178.736414,3155.452579,1154.295762,1253.955227,107.7489414,123.5951871
20013,578.8326573,805.4474843,259.0120671,358.5610202,80.17861242,93.76268457
20015,16179.30501,17365.99032,3821.201789,4457.299847,370.1827615,583.8123873
20017,2615.446593,2615.446593,880.0635496,970.6654609,33.51962687,34.31658957
20019,1100.413591,1344.297583,291.5116468,587.5756048,32.15065827,54.57258269
20021,3500.929137,2679.670363,1463.975247,1082.234816,319.9616186,272.7651861
20023,2675.801809,260.5139534,1000.989891,71.25762715,39.73579841,1.036156313
20025,2214.999995,2214.999995,686.1624008,738.8832557,16.19659282,20.27233352
20027,2243.219163,2260.64136,826.9422429,641.6186734,46.49138622,55.27206907
20029,3219.987204,3220.202926,1185.15183,1162.484783,58.69555587,72.54634158
20031,4619.720134,3341.346969,1437.970661,911.1579783,73.08225977,81.81298255
20033,336.9887208,336.9887208,125.8486109,61.41534982,17.13857064,4.846392347
20035,5905.564222,11420.6727,2050.953398,4971.53904,174.2886279,317.0203206
20037,11857.9741,11594.79226,5557.848975,5622.099244,596.605571,470.2111041
20039,499.8395562,825.2204047,229.4345498,312.8397028,1.563976448,23.69384052
20041,3652.902883,1591.4215,1085.62192,603.6035839,99.923166,96.61543773
20043,4873.646626,4886.728793,1686.680504,1573.530568,171.0165716,180.5524317
20045,14766.11661,15121.9563,4591.727159,4953.350034,357.9809605,446.4221319
20047,485.9001371,485.9001371,151.8419447,165.8441631,18.23076816,38.05854986
20049,2863.469059,2863.469059,1436.105428,1213.380556,34.65439321,36.69027789
20051,5663.611755,4106.497077,1644.732005,1841.091046,154.6401673,177.0819751
20053,2034.499576,1981.772392,719.070004,654.8456485,26.90328848,66.7122532
20055,7497.90085,7140.329463,3363.933607,3446.329451,154.9468535,102.569465
20057,10833.34618,7088.054511,4673.135595,2623.414857,276.1887694,176.7172264
20059,12227.68641,12227.68641,3795.937599,4590.010757,271.8478538,318.3620988
20061,11538.75908,12619.68926,4362.309121,4378.176457,385.6518209,285.3270194
20063,2625.877777,1118.70812,776.0055147,385.5038521,8.567307531,13.88199571
20065,576.1008645,561.579916,202.1442739,168.8779101,1.255193334,7.7845802
20067,742.5416104,742.5416104,287.0748542,269.9888041,14.93411354,1.537385148
20069,3183.68299,2727.803558,978.960243,823.5926826,33.94884063,23.16147812
20071,1246.999999,1246.999999,286.8941899,431.6212362,11.57812426,15.33877532
20073,2871.803723,3106.695006,1024.00294,1222.577479,93.26834511,64.9276289
20075,2690.000001,2690.000001,1284.69299,1112.415684,27.31326736,36.38395128
20077,1121.601958,1565.895712,430.9242847,515.7047641,20.8876123,64.19914055
20079,7818.518339,5077.739618,2268.494985,1593.438528,204.6627859,148.2192733
20081,4256.000002,4256.000002,1669.159512,1600.989099,79.04395221,26.70613546
20083,1902.335279,611.6738761,635.7418667,167.4324929,25.50825947,5.284800742
20085,2033.095748,1799.498378,597.1547632,613.2804453,123.8400618,115.4527122
20087,2889.499773,163.7857105,783.7451975,32.89557658,219.4128644,120.0335169
20089,835.8951486,826.016113,330.017035,298.1580647,59.81061627,35.36171572
20091,119670.5883,94138.79904,15612.90451,13178.54342,1227.922285,1285.450824
20093,350.2137269,3977.0,106.8140496,1263.293357,42.10398807,34.84714198
20095,2622.203791,2668.320436,710.4717855,785.4787236,72.11675804,67.36346861
20097,2544.175266,2544.175266,1064.132024,937.6187666,46.9118,96.45531875
20099,4221.951807,4220.460868,1320.115961,1460.129971,185.0513143,228.0523727
20101,1750.000003,389.9888221,638.6502016,76.84198468,42.04135738,6.448340325
20103,14861.48804,23532.13256,3933.073301,7778.44947,557.4915659,617.6048401
20105,1028.058137,1021.210926,277.2916513,387.7579309,11.93920699,18.19765895
20107,3325.913762,1351.292931,1017.902101,420.4293575,103.0527321,96.73337641
20109,502.559402,502.559402,164.9762854,231.7829315,12.2530139,7.353909176
20111,3322.404097,5776.67464,1009.648231,2471.471267,98.04673498,175.575405
20113,8539.339841,7489.585572,2182.819315,1977.735831,189.1250816,145.7962485
20115,3065.455562,2891.978134,1051.04601,1109.019806,79.88185526,149.5595926
20117,1423.012984,1405.647972,420.4915041,484.0133935,52.03720732,63.24991394
20119,2320.270793,2320.270793,891.2848453,838.8975445,23.12111007,18.99097769
20121,3481.972943,2505.688363,898.369634,520.1397262,200.6833561,134.7342612
20123,1405.362288,1288.746436,403.5429474,342.9336408,54.01045209,47.24311734
20125,4025.501215,8478.636533,987.8456877,3446.048242,244.5459573,396.5871305
20127,1952.188875,1952.188875,538.2234062,421.7568615,48.43110638,46.63188157
20129,844.9548861,844.9548861,208.0193753,240.2715325,15.98078022,16.03282586
20131,1537.394372,1415.413131,506.4856354,517.3717191,130.3183382,59.76788764
20133,4082.079702,1061.216452,1458.700723,421.0451069,63.80891654,85.99675738
20135,836.2531421,833.4184283,199.4324957,314.5974871,10.03123241,20.67053305
20137,1673.807619,2008.868235,677.0244306,614.213718,17.39864052,25.92720116
20139,1906.272602,2040.309361,704.5807036,789.7430312,109.3110675,152.0760689
20141,891.7577861,891.7577861,400.9035788,361.6736754,24.09467844,21.97943743
20143,1735.681659,1735.681659,434.68267,437.4491286,17.62898643,38.27798519
20145,1180.231306,1180.231306,340.7744729,393.9624516,18.70507813,47.90705949
20147,1994.556584,1994.556584,528.8089877,599.6451756,46.02572146,49.47273983
20149,4154.052643,577.4275312,1267.385112,100.8518334,96.90924786,93.67999207
20151,2220.811148,2235.98708,556.0582338,577.2273313,37.74633008,33.10456032
20153,898.7936594,715.0675463,306.583233,232.0100187,18.03327882,13.0582172
20155,17367.42586,15361.54134,5719.506408,4861.621779,638.9102512,529.6295002
20157,1274.504407,1274.504407,416.3313291,438.2506445,61.01228572,54.08043562
20159,1886.294663,1890.359915,651.1466143,663.2628537,54.39068108,51.43854365
20161,35861.64937,30210.77045,15461.52625,14112.8843,752.6612363,573.1344441
