FIPS,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17
16087,10.1,11.2,26.8,29.3
17001,9.0,10.1,28.1,31.1
17003,11.0,11.4,28.1,31.1
17005,8.8,10.0,28.1,31.1
17007,7.2,9.4,28.1,31.1
17009,7.9,8.2,28.1,31.1
17011,9.0,11.3,28.1,31.1
17013,9.6,11.4,28.1,31.1
17015,9.6,12.2,28.1,31.1
17017,8.6,10.6,28.1,31.1
17019,7.4,7.4,28.1,31.1
17021,8.9,10.5,28.1,31.1
17023,9.0,11.5,28.1,31.1
17025,8.9,10.8,28.1,31.1
17027,8.5,8.7,28.1,31.1
17029,7.4,8.9,28.1,31.1
17031,8.7,8.5,28.1,31.1
17033,8.7,10.6,28.1,31.1
17035,9.0,11.1,28.1,31.1
17037,6.9,8.3,28.1,31.1
17039,8.6,10.8,28.1,31.1
17041,8.7,10.8,28.1,31.1
17043,7.5,8.1,28.1,31.1
17045,9.5,10.1,28.1,31.1
17047,9.1,10.5,28.1,31.1
17049,8.6,10.7,28.1,31.1
17051,8.3,10.3,28.1,31.1
17053,9.3,10.6,28.1,31.1
17055,9.5,11.6,28.1,31.1
17057,8.9,11.6,28.1,31.1
17059,9.5,10.8,28.1,31.1
17061,9.2,11.5,28.1,31.1
17063,7.5,8.6,28.1,31.1
17065,9.5,11.1,28.1,31.1
17067,9.2,11.2,28.1,31.1
17069,9.1,13.0,28.1,31.1
17071,9.5,11.8,28.1,31.1
17073,8.8,11.1,28.1,31.1
17075,9.3,12.4,28.1,31.1
17077,7.3,9.0,28.1,31.1
17079,9.0,10.2,28.1,31.1
17081,9.0,11.1,28.1,31.1
17083,8.3,10.4,28.1,31.1
17085,9.2,13.0,28.1,31.1
17087,8.2,10.5,28.1,31.1
17089,7.1,7.7,28.1,31.1
17091,9.0,9.1,28.1,31.1
17093,6.0,8.3,28.1,31.1
17095,9.2,9.8,28.1,31.1
17097,7.6,8.4,28.1,31.1
17099,9.1,10.4,28.1,31.1
17101,8.7,11.7,28.1,31.1
17103,8.7,10.1,28.1,31.1
17105,9.1,9.5,28.1,31.1
17107,8.3,9.8,28.1,31.1
17109,7.5,9.3,28.1,31.1
17111,6.9,10.1,28.1,31.1
17113,7.3,7.0,28.1,31.1
17115,9.4,10.0,28.1,31.1
17117,9.0,10.5,28.1,31.1
17119,9.4,10.0,28.1,31.1
17121,9.0,10.5,28.1,31.1
17123,9.0,11.2,28.1,31.1
17125,9.2,11.1,28.1,31.1
17127,9.5,11.2,28.1,31.1
17129,8.3,10.2,28.1,31.1
17131,8.9,11.4,28.1,31.1
17133,7.9,11.4,28.1,31.1
17135,9.1,10.8,28.1,31.1
17137,8.8,11.3,28.1,31.1
17139,9.1,10.2,28.1,31.1
17141,8.3,10.4,28.1,31.1
17143,9.7,9.6,28.1,31.1
17145,8.7,10.6,28.1,31.1
17147,8.9,10.7,28.1,31.1
17149,9.1,12.0,28.1,31.1
17151,9.6,10.9,28.1,31.1
