FIPS,MEDHHINC15,POVRATE15
8095,48562.0,11.1
8097,76663.0,7.0
8099,41348.0,19.6
8101,40540.0,19.8
8103,61426.0,9.7
8105,40259.0,17.2
8107,70989.0,8.9
8109,34209.0,29.6
8111,43489.0,15.6
8113,62793.0,11.0
8115,40325.0,13.6
8117,69633.0,8.7
8119,66191.0,8.8
8121,47592.0,11.4
8123,69434.0,11.3
8125,48934.0,14.1
9001,86297.0,9.0
9003,69260.0,11.1
9005,70847.0,7.4
9007,82878.0,6.7
9009,61758.0,13.6
9011,65602.0,11.1
9013,81616.0,7.1
9015,61303.0,10.9
10001,55678.0,14.2
10003,66179.0,12.1
10005,54309.0,12.3
11001,73115.0,17.7
12001,47023.0,21.1
12003,50883.0,16.8
12005,47745.0,16.5
12007,40879.0,21.3
12009,50352.0,13.4
12011,53624.0,14.0
12013,36062.0,22.2
12015,45495.0,12.4
12017,39982.0,17.5
12019,59244.0,11.6
12021,62385.0,13.6
12023,43303.0,19.7
12027,34380.0,30.5
12029,35749.0,29.3
12031,49565.0,16.0
12033,45735.0,15.4
12035,50347.0,11.7
12037,38220.0,23.7
12039,36637.0,24.5
12041,39342.0,19.2
12043,40215.0,22.1
12045,41320.0,21.9
12047,33497.0,31.8
12049,35850.0,25.9
12051,39320.0,25.8
12053,43103.0,14.3
12055,34691.0,22.9
12057,51710.0,15.8
12059,35202.0,25.9
12061,49887.0,13.0
12063,36751.0,22.5
12065,42210.0,19.4
12067,40345.0,23.8
12069,49711.0,12.8
12071,50713.0,15.9
12073,46405.0,21.8
12075,36005.0,22.1
12077,39623.0,22.6
12079,34360.0,27.0
12081,50728.0,14.8
12083,40053.0,18.7
12085,53459.0,11.2
12086,43687.0,20.0
12087,58332.0,11.3
12089,55707.0,10.8
12091,55391.0,11.3
12093,35787.0,23.2
12095,50593.0,15.6
12097,45127.0,18.5
12099,56638.0,13.5
12101,46080.0,14.6
12103,47591.0,13.6
12105,44024.0,17.3
12107,32351.0,27.3
12109,71896.0,9.8
12111,45918.0,16.4
12113,59289.0,12.3
12115,55882.0,9.7
12117,57357.0,11.5
12119,54592.0,10.1
12121,37368.0,23.6
12123,39116.0,21.2
12125,41078.0,26.2
12127,42334.0,16.3
12129,48703.0,16.5
12131,47875.0,14.8
12133,36328.0,24.8
13001,39588.0,22.5
13003,32398.0,26.9
13005,35431.0,23.9
13007,34455.0,28.7
13009,38015.0,26.0
13011,44146.0,15.8
13013,53789.0,15.6
13015,50900.0,13.6
13017,30776.0,32.5
13019,35518.0,25.5
13021,38870.0,26.7
13023,42716.0,19.3
13025,37709.0,21.6
13027,36820.0,25.4
13029,69650.0,13.1
13031,36544.0,29.9
13033,36977.0,25.1
13035,44166.0,19.0
13037,30972.0,37.5
13039,52706.0,13.6
13043,32806.0,28.1
13045,45453.0,20.4
13047,50979.0,13.1
13049,37037.0,32.5
13051,48885.0,17.8
13053,41066.0,21.0
13055,38063.0,20.4
13057,74885.0,9.4
13059,33302.0,38.1
13061,25941.0,34.3
13063,41731.0,23.3
13065,31848.0,28.2
13067,70097.0,11.4
13069,34775.0,22.6
13071,34151.0,24.1
13073,75232.0,9.3
13075,34505.0,24.1
13077,67268.0,10.9
13079,43559.0,20.6
13081,31095.0,32.3
13083,43632.0,16.2
13085,60195.0,12.1
13087,37661.0,27.3
13089,53994.0,17.8
13091,34611.0,24.8
13093,32323.0,33.8
13095,34799.0,29.4
13097,58443.0,14.1
13099,31935.0,26.5
13101,34414.0,25.9
13103,63255.0,11.4
13105,35814.0,23.7
13107,31772.0,27.0
13109,34085.0,27.4
13111,39796.0,17.4
13113,80588.0,7.0
13115,41130.0,19.6
13117,97886.0,6.3
13119,40156.0,21.9
13121,59911.0,16.0
13123,43907.0,16.9
13125,40732.0,17.8
13127,46377.0,18.2
13129,44580.0,18.1
13131,36486.0,29.3
13133,43326.0,21.2
13135,61797.0,12.6
13137,44400.0,16.6
13139,54578.0,16.9
13141,28328.0,34.7
13143,41167.0,19.2
13145,65887.0,9.9
13147,39567.0,18.6
13149,41514.0,19.1
13151,65437.0,9.9
13153,55860.0,15.2
13155,35284.0,24.7
13157,56102.0,13.0
13159,46398.0,17.4
13161,36186.0,21.7
13163,32023.0,27.7
13165,29924.0,35.9
13167,30794.0,30.2
13169,52777.0,14.2
13171,42177.0,21.0
13173,37616.0,21.8
13175,36960.0,25.5
13177,68636.0,10.7
13179,39612.0,20.3
13181,39089.0,21.4
13183,42542.0,19.1
13185,37699.0,26.5
13187,48101.0,16.5
13189,36346.0,27.4
13191,38770.0,24.0
13193,30696.0,33.5
13195,40735.0,15.1
13197,35265.0,25.5
13199,37866.0,22.1
13201,35357.0,25.1
13205,34139.0,28.0
13207,53070.0,14.2
13209,36821.0,24.3
13211,51081.0,14.3
13213,43142.0,17.8
13215,41828.0,22.2
13217,51177.0,14.9
13219,76371.0,6.8
13221,43428.0,16.9
13223,62658.0,8.8
13225,41725.0,22.0
13227,56289.0,12.6
13229,39648.0,22.1
13231,56233.0,11.7
13233,39402.0,20.8
13235,39209.0,24.4
13237,44323.0,18.1
13239,29921.0,28.9
13241,40834.0,16.1
13243,30505.0,26.9
13245,40821.0,24.3
13247,51510.0,15.9
13249,41737.0,19.5
13251,35911.0,27.0
13253,31615.0,25.8
13255,41250.0,22.2
13257,38503.0,21.2
13259,28977.0,42.0
13261,33802.0,30.8
13263,33510.0,25.6
13265,28952.0,33.5
13267,37163.0,27.5
13269,32041.0,27.3
13271,31149.0,34.7
13273,32342.0,36.5
13275,40449.0,21.7
13277,39988.0,27.1
13279,34953.0,25.1
13281,39782.0,16.7
13283,32086.0,28.7
13285,41289.0,19.3
13287,35117.0,28.4
13289,36086.0,26.3
13291,42782.0,14.3
13293,37864.0,22.7
13295,42249.0,18.8
13297,57312.0,12.7
13299,35270.0,28.4
13301,32350.0,27.7
13303,36499.0,26.3
13305,41466.0,20.8
13307,35770.0,23.6
13309,30926.0,39.3
13311,43598.0,15.2
13313,45921.0,15.3
13315,32480.0,30.4
13317,34031.0,22.9
13319,38103.0,20.9
13321,39560.0,21.7
15001,54914.0,18.3
15003,76544.0,9.2
15005,,
15007,70122.0,11.2
15009,68684.0,10.7
16001,58431.0,11.7
16003,39943.0,15.8
16005,43298.0,22.3
16007,48309.0,13.7
16009,41368.0,18.0
16011,49644.0,14.0
16013,65272.0,8.9
16015,52728.0,14.4
16017,44072.0,15.8
16019,54008.0,13.2
16021,41803.0,15.8
16023,43780.0,15.9
16025,46203.0,10.7
16027,44585.0,15.9
16029,57017.0,10.8
16031,47932.0,16.7
16033,40098.0,15.3
16035,42630.0,15.3
16037,45801.0,14.0
16039,44509.0,15.0
16041,53901.0,9.7
16043,49555.0,15.0
16045,44017.0,15.8
16047,48950.0,13.9
16049,41157.0,16.3
16051,53555.0,10.5
16053,47034.0,15.8
16055,48864.0,14.7
16057,46360.0,19.6
16059,40087.0,17.6
16061,41688.0,16.3
16063,46168.0,14.5
16065,38065.0,28.1
16067,45429.0,17.0
16069,50939.0,13.5
16071,47037.0,12.2
16073,39738.0,19.9
16075,44499.0,15.7
16077,44004.0,14.1
16079,37497.0,21.1
16081,58013.0,9.8
16083,45799.0,14.6
16085,51774.0,10.7
16087,38592.0,17.1
17001,47264.0,13.4
17003,32922.0,28.6
