,FIPS,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13
1765,33003,54351.0,9.6,0,17.7,0,0
1766,33005,60339.0,9.9,0,14.0,0,0
1767,33007,40286.0,16.1,0,23.4,0,0
1768,33009,57827.0,11.2,0,14.9,0,0
1769,33011,73474.0,8.0,0,10.2,0,1
1770,33013,68148.0,8.3,0,10.7,0,0
1771,33015,87103.0,5.2,0,6.5,0,1
1772,33017,60931.0,11.4,0,13.6,0,1
1773,33019,53804.0,11.2,0,17.5,0,0
1774,34001,53296.0,14.1,0,21.9,0,1
1775,34003,88512.0,7.1,0,8.6,0,1
1776,34005,74844.0,7.7,0,10.0,0,1
1777,34007,63589.0,13.1,0,19.6,0,1
1778,34009,55632.0,10.5,0,18.1,0,1
1779,34011,50259.0,17.2,0,25.5,0,1
1780,34013,52206.0,16.8,0,24.1,1,1
1781,34015,76780.0,7.7,0,9.8,0,1
1782,34017,60053.0,17.7,0,27.0,1,1
1783,34019,102797.0,5.0,0,4.6,0,1
1784,34021,72172.0,11.2,0,15.2,0,1
1785,34023,78249.0,8.5,0,10.8,0,1
1786,34025,86722.0,7.5,0,10.0,0,1
1787,34027,101754.0,5.3,0,5.8,0,1
1788,34029,63478.0,10.9,0,18.9,0,1
1789,34031,55723.0,17.3,0,26.3,0,1
1790,34033,63988.0,11.9,0,18.5,0,1
1791,34035,99059.0,5.5,0,7.0,0,1
1792,34037,84431.0,5.6,0,7.0,0,1
1793,34039,70581.0,10.6,0,15.7,0,1
1794,34041,71672.0,7.7,0,10.7,0,1
1795,35001,47870.0,19.0,0,25.0,0,1
1796,35003,36570.0,23.4,0,44.9,1,0
1797,35005,39265.0,21.1,0,28.8,1,0
1798,35006,35580.0,29.2,1,37.9,1,0
1799,35007,37269.0,19.7,0,29.8,1,0
1800,35009,41879.0,21.7,0,29.3,1,0
1801,35011,33427.0,20.2,0,32.6,1,0
1802,35013,39421.0,25.7,1,38.8,1,1
1803,35015,60407.0,12.3,0,17.1,0,0
1804,35017,39792.0,20.5,0,30.1,0,0
1805,35019,31710.0,23.9,1,31.6,1,0
1806,35021,39561.0,14.3,0,20.9,0,0
1807,35023,34336.0,25.2,0,35.4,1,0
1808,35025,54686.0,14.3,0,18.3,0,0
1809,35027,40297.0,17.8,0,32.3,1,0
1810,35028,107126.0,4.0,0,4.1,0,0
1811,35029,27151.0,30.9,1,41.2,1,0
1812,35031,29040.0,34.1,1,39.2,1,0
1813,35033,31816.0,23.9,0,35.5,0,0
1814,35035,38381.0,23.0,0,33.6,0,0
1815,35037,29047.0,23.0,0,35.7,1,0
1816,35039,37319.0,24.2,0,30.6,1,0
1817,35041,38053.0,20.4,1,26.6,1,0
1818,35043,62833.0,11.2,0,15.7,0,1
1819,35045,49173.0,18.8,0,23.5,1,1
1820,35047,32303.0,28.7,1,35.9,1,0
1821,35049,55247.0,13.1,0,18.6,0,1
1822,35051,29432.0,28.7,0,43.6,1,0
1823,35053,33673.0,23.5,1,40.7,1,0
1824,35055,37092.0,19.9,1,32.0,1,0
1825,35057,35950.0,26.2,0,36.7,1,1
1826,35059,36715.0,17.1,0,26.3,0,0
1827,35061,42395.0,19.8,0,27.0,0,1
1828,36001,57312.0,12.6,0,16.4,0,1
1829,36003,44331.0,16.8,0,25.6,0,0
1830,36005,35102.0,30.3,1,42.6,1,1
1831,36007,46067.0,17.7,0,23.2,0,1
1832,36009,40933.0,18.0,0,26.1,0,0
1833,36011,51925.0,12.7,0,20.3,0,0
1834,36013,43973.0,17.2,0,28.2,0,0
1835,36015,51285.0,14.9,0,23.2,0,1
1836,36017,49082.0,14.3,0,23.3,0,0
1837,36019,46747.0,17.5,0,22.3,0,0
1838,36021,58335.0,13.6,0,19.4,0,0
1839,36023,49894.0,16.2,0,20.0,0,0
1840,36025,42907.0,16.9,0,27.1,0,0
1841,36027,71348.0,10.4,0,12.9,0,1
1842,36029,52176.0,15.6,0,24.3,0,1
1843,36031,52282.0,12.2,0,19.3,0,0
1844,36033,45682.0,18.3,0,26.2,0,0
1845,36035,46543.0,17.9,0,26.9,0,0
1846,36037,53771.0,13.4,0,19.4,0,0
1847,36039,48144.0,16.4,0,24.3,0,0
1848,36041,47997.0,11.1,0,19.4,0,0
1849,36043,49504.0,12.7,0,20.3,0,1
1850,36045,50179.0,14.1,0,21.1,0,1
1851,36047,51026.0,22.3,1,31.5,1,1
1852,36049,50846.0,14.0,0,22.4,0,0
1853,36051,53945.0,13.2,0,16.4,0,1
1854,36053,58094.0,12.9,0,18.1,0,1
1855,36055,54204.0,14.8,0,22.0,0,1
1856,36057,44414.0,18.4,0,27.9,0,0
1857,36059,101568.0,6.1,0,8.4,0,1
1858,36061,75136.0,17.6,0,24.9,1,1
1859,36063,48517.0,15.5,0,23.3,0,1
1860,36065,47390.0,18.0,0,29.8,0,1
1861,36067,57114.0,14.6,0,20.8,0,1
1862,36069,58085.0,9.6,0,13.7,0,1
1863,36071,71162.0,12.1,0,20.1,0,1
1864,36073,48126.0,14.2,0,22.6,0,1
1865,36075,49391.0,17.4,0,25.2,0,1
1866,36077,47942.0,16.8,0,19.9,0,0
1867,36079,90497.0,6.0,0,6.5,0,1
1868,36081,60241.0,13.9,0,19.6,0,1
1869,36083,60117.0,12.0,0,18.2,0,1
1870,36085,71058.0,14.2,0,18.3,0,1
1871,36087,84249.0,14.0,0,23.0,0,1
1872,36089,42811.0,18.5,0,23.4,0,0
1873,36091,75029.0,6.4,0,8.5,0,1
1874,36093,59432.0,12.0,0,18.3,0,1
1875,36095,50588.0,13.7,0,21.2,0,1
1876,36097,49664.0,12.5,0,19.9,0,0
1877,36099,49813.0,14.1,0,21.2,0,0
1878,36101,47352.0,15.4,0,22.7,0,0
1879,36103,87634.0,7.8,0,10.7,0,1
1880,36105,49161.0,18.1,0,29.2,0,0
1881,36107,57541.0,11.7,0,17.8,0,1
1882,36109,55839.0,20.1,0,16.8,0,1
1883,36111,58328.0,14.0,0,18.3,0,1
1884,36113,54492.0,11.3,0,17.0,0,1
1885,36115,51188.0,13.3,0,20.4,0,1
1886,36117,51273.0,12.2,0,16.9,0,1
1887,36119,85688.0,10.1,0,13.1,0,1
1888,36121,52796.0,13.3,0,17.3,0,0
1889,36123,46392.0,13.6,0,22.1,0,1
1890,37001,41566.0,18.9,0,26.1,0,1
1891,37003,41092.0,15.5,0,22.3,0,1
1892,37005,36113.0,22.9,0,35.9,1,0
1893,37007,35307.0,25.2,0,35.6,0,0
1894,37009,35238.0,20.2,0,31.8,0,0
1895,37011,37120.0,19.7,0,29.9,0,0
1896,37013,41725.0,19.2,0,33.3,1,0
1897,37015,31967.0,24.8,1,35.9,1,0
1898,37017,33882.0,25.4,1,35.2,1,0
1899,37019,48831.0,14.3,0,24.5,0,1
1900,37021,45094.0,15.2,0,23.2,0,1
1901,37023,42711.0,16.7,0,23.6,0,1
1902,37025,57881.0,10.8,0,15.2,0,1
1903,37027,39636.0,16.2,0,23.9,0,1
1904,37029,62000.0,9.7,0,13.7,0,0
1905,37031,50837.0,13.8,0,22.7,0,0
1906,37033,40504.0,20.1,0,29.8,0,0
1907,37035,41745.0,15.1,0,20.8,0,1
1908,37037,58860.0,11.6,0,18.0,0,1
1909,37039,38284.0,18.3,0,30.9,0,0
1910,37041,40794.0,19.4,0,33.0,1,0
1911,37043,38980.0,17.4,0,31.9,0,0
