,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS12,PCT_OBESE_ADULTS17,PCT_HSPA17,RECFACPTH11,RECFACPTH16
178,11.2,15.2,34.5,35.0,21.400000000000006,0.0579072,0.0583499
179,11.0,12.7,34.5,35.0,21.400000000000006,0.0,0.08
180,11.1,13.5,34.5,35.0,21.400000000000006,0.0483244,0.0250834
181,11.1,12.9,34.5,35.0,21.400000000000006,0.0581463,0.0601612
182,7.8,9.1,34.5,35.0,21.400000000000006,0.115532364,0.105448155
183,8.8,10.1,34.5,35.0,21.400000000000006,0.12819691,0.08878967
184,12.2,14.7,34.5,35.0,21.400000000000006,0.0,0.150988978
185,11.7,12.9,34.5,35.0,21.400000000000006,0.0,0.0
186,7.6,8.5,25.0,25.1,27.5,0.094634239,0.094360394
187,8.4,10.3,25.0,25.1,27.5,0.0,0.0
188,9.3,10.2,25.0,25.1,27.5,0.106555849,0.106743522
189,8.3,10.2,25.0,25.1,27.5,0.072726281,0.097119523
190,7.3,10.0,25.0,25.1,27.5,0.110710095,0.088270992
191,7.6,9.6,25.0,25.1,27.5,0.0,0.092400092
192,7.0,9.4,25.0,25.1,27.5,0.105985657,0.122953159
193,8.1,8.4,25.0,25.1,27.5,0.070306183,0.0
194,7.1,7.5,25.0,25.1,27.5,0.082884376,0.144949321
195,8.5,9.4,25.0,25.1,27.5,0.0414735,0.063295404
196,7.7,8.4,25.0,25.1,27.5,0.0355114,0.0
197,9.4,8.8,25.0,25.1,27.5,0.096126117,0.124588674
198,6.7,8.3,25.0,25.1,27.5,0.0340605,0.071831142
199,8.0,9.4,25.0,25.1,27.5,0.21737949,0.0554508
200,7.0,9.3,25.0,25.1,27.5,0.0483054,0.054232
201,5.7,7.5,25.0,25.1,27.5,0.072354141,0.0467299
202,9.2,10.1,25.0,25.1,27.5,0.0622345,0.093823299
203,6.5,7.6,25.0,25.1,27.5,0.116808784,0.0323164
204,7.8,9.1,25.0,25.1,27.5,0.072223361,0.09250723
205,7.8,7.9,25.0,25.1,27.5,0.0460902,0.0516242
206,6.4,7.9,25.0,25.1,27.5,0.219173793,0.271477295
207,8.3,10.7,25.0,25.1,27.5,0.11004732,0.114129194
208,7.0,8.4,25.0,25.1,27.5,0.194581478,0.148386581
209,7.5,9.2,25.0,25.1,27.5,0.0500757,0.070664019
210,8.2,10.4,25.0,25.1,27.5,0.0,0.0
211,7.0,7.4,25.0,25.1,27.5,0.069788541,0.141833912
212,7.8,7.6,25.0,25.1,27.5,0.0593596,0.06645843
213,7.3,8.4,25.0,25.1,27.5,0.145027374,0.16237319
214,6.9,7.7,25.0,25.1,27.5,0.182344956,0.201912108
215,7.0,8.0,25.0,25.1,27.5,0.098904032,0.134059099
216,7.1,9.0,25.0,25.1,27.5,0.13185765,0.142201811
217,8.0,9.8,25.0,25.1,27.5,0.152160682,0.159684888
218,8.1,9.0,25.0,25.1,27.5,0.0590369,0.075423566
219,8.4,8.4,25.0,25.1,27.5,0.084349595,0.097802096
220,7.2,7.6,25.0,25.1,27.5,0.0535389,0.117974214
221,7.7,9.2,25.0,25.1,27.5,0.0528515,0.0584896
222,7.1,7.7,25.0,25.1,27.5,0.102555381,0.12209092
223,7.9,7.9,25.0,25.1,27.5,0.135980419,0.162081399
224,7.9,10.3,25.0,25.1,27.5,0.0517933,0.066730765
225,6.4,8.5,25.0,25.1,27.5,0.132767841,0.141702269
226,6.8,8.3,25.0,25.1,27.5,0.144028575,0.13904031
227,7.5,7.1,25.0,25.1,27.5,0.122049111,0.134439923
228,7.4,8.4,25.0,25.1,27.5,0.110816336,0.135640604
229,6.2,7.0,25.0,25.1,27.5,0.165973226,0.134449629
230,7.1,9.4,25.0,25.1,27.5,0.078831048,0.095092127
231,8.8,9.6,25.0,25.1,27.5,0.0,0.0
232,8.0,8.6,25.0,25.1,27.5,0.067243466,0.11491347
233,9.9,9.8,25.0,25.1,27.5,0.09120321,0.109012123
234,6.6,7.9,25.0,25.1,27.5,0.118895827,0.13695014
235,8.1,9.7,25.0,25.1,27.5,0.073354259,0.077583388
236,7.9,8.6,25.0,25.1,27.5,0.084602369,0.083283017
237,8.7,11.2,25.0,25.1,27.5,0.0157861,0.0157619
238,9.6,10.1,25.0,25.1,27.5,0.219346348,0.0
