,FFRPTH11,FFRPTH16,FSRPTH11,FSRPTH16,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
48,0.621926666,0.665297504,0.498509312,0.525488608,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
49,0.438596491,0.463563879,0.438596491,0.417207491,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
50,0.763651914,0.961555426,0.58473918,0.639566683,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
51,0.808286183,0.757454616,0.51663653,0.538634393,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
52,0.190985485,0.208986416,0.668449198,0.626959248,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
53,0.310013434,0.344572976,0.516689057,0.246123554,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
54,0.819000819,1.0236339,0.546000546,0.692458227,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
55,0.395778364,0.444483954,0.483729112,0.311138768,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
56,0.784199296,0.825068326,0.401218244,0.39534524,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
57,0.546246927,0.628700761,0.510622128,0.480098763,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
58,0.687267858,0.767506976,0.641786896,0.568523686,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
59,0.518864428,0.618620476,0.370617449,0.463965357,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
60,0.562402191,0.621998856,0.550176056,0.547358993,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
61,0.628110354,0.56686548,0.531477992,0.468280179,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
62,0.79817386,0.828962294,0.564314003,0.591423391,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
63,0.735989906,0.697015226,0.540727278,0.604079862,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
64,0.172860847,0.120148985,0.403341976,0.300372462,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
65,0.437062937,0.275862069,0.437062937,0.183908046,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
66,0.4927322,0.460501528,0.944403383,0.71168418,649.5113669582424,674.8027203993418,484.3815070495379,512.2809872615167
67,0.306560392,0.300842359,0.0,0.300842359,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
68,0.357973868,0.0,0.357973868,0.696015312,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
69,0.678387126,0.6994512,0.749263393,0.8305983,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
70,0.40192926,0.333704116,0.344510795,0.333704116,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
71,0.0,0.0,1.941747573,2.209944751,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
72,0.534759358,1.466992665,4.278074866,2.93398533,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
73,0.202101859,0.20096463,0.606305578,0.40192926,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
74,0.438167441,0.43736705,0.591016548,0.685871056,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
75,0.388500389,0.395100751,2.71950272,1.975503753,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
76,0.0,0.0,0.0,0.0,582.715509816057,511.4807882164624,688.084194139077,724.8088817442527
77,0.715129656,0.864064188,0.870592625,0.956642493,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
78,0.586104007,0.751584306,1.207729469,1.178620843,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
79,0.513046028,0.801340424,0.879507476,0.947038683,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
80,0.361794501,0.438628555,0.795947902,0.80415235,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
81,0.0,0.0,0.0,0.0,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
82,0.403397259,0.345744936,0.501520917,0.518617404,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
83,0.306905371,0.100857287,0.511508951,1.008572869,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
84,0.314169023,0.309757357,0.628338046,0.413009809,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
85,0.129785853,0.391542678,0.0,0.130514226,582.7155098160566,511.4807882164624,688.0841941390773,724.8088817442527
