,FOODINSEC_12_14,FOODINSEC_15_17,VLFOODSEC_12_14,VLFOODSEC_15_17
320,13.8,11.9,5.5,4.2
321,13.8,11.9,5.5,4.2
322,13.8,11.9,5.5,4.2
323,13.8,11.9,5.5,4.2
324,13.8,11.9,5.5,4.2
325,13.8,11.9,5.5,4.2
326,13.8,11.9,5.5,4.2
327,13.8,11.9,5.5,4.2
328,13.8,11.9,5.5,4.2
329,13.8,11.9,5.5,4.2
330,13.8,11.9,5.5,4.2
331,13.8,11.9,5.5,4.2
332,13.8,11.9,5.5,4.2
333,13.8,11.9,5.5,4.2
334,13.8,11.9,5.5,4.2
335,13.8,11.9,5.5,4.2
336,13.8,11.9,5.5,4.2
337,13.8,11.9,5.5,4.2
338,13.8,11.9,5.5,4.2
339,13.8,11.9,5.5,4.2
340,13.8,11.9,5.5,4.2
341,13.8,11.9,5.5,4.2
342,13.8,11.9,5.5,4.2
343,13.8,11.9,5.5,4.2
344,13.8,11.9,5.5,4.2
345,13.8,11.9,5.5,4.2
346,13.8,11.9,5.5,4.2
347,13.8,11.9,5.5,4.2
348,13.8,11.9,5.5,4.2
349,13.8,11.9,5.5,4.2
350,13.8,11.9,5.5,4.2
351,13.8,11.9,5.5,4.2
352,13.8,11.9,5.5,4.2
353,13.8,11.9,5.5,4.2
354,13.8,11.9,5.5,4.2
355,13.8,11.9,5.5,4.2
356,13.8,11.9,5.5,4.2
357,13.8,11.9,5.5,4.2
358,13.8,11.9,5.5,4.2
359,13.8,11.9,5.5,4.2
360,13.8,11.9,5.5,4.2
361,13.8,11.9,5.5,4.2
362,13.8,11.9,5.5,4.2
363,13.8,11.9,5.5,4.2
364,13.8,11.9,5.5,4.2
365,13.8,11.9,5.5,4.2
366,13.8,11.9,5.5,4.2
367,13.8,11.9,5.5,4.2
368,13.8,11.9,5.5,4.2
369,13.8,11.9,5.5,4.2
370,13.8,11.9,5.5,4.2
371,13.8,11.9,5.5,4.2
372,13.8,11.9,5.5,4.2
373,13.8,11.9,5.5,4.2
374,13.8,11.9,5.5,4.2
375,13.8,11.9,5.5,4.2
376,13.8,11.9,5.5,4.2
377,13.8,11.9,5.5,4.2
378,13.8,11.9,5.5,4.2
379,13.8,11.9,5.5,4.2
380,13.8,11.9,5.5,4.2
381,13.8,11.9,5.5,4.2
382,13.8,11.9,5.5,4.2
383,13.8,11.9,5.5,4.2
384,13.8,11.9,5.5,4.2
